Borough,NTAName,SiteName,SiteAddr,Open_Month,Day_Hours,Notes,Text,Embedding
Brooklyn,Bay Ridge,4th Avenue Presbyterian Church,"6753 4th Avenue, Brooklyn, NY 11220",Year Round,Every day (Start Time: Dawn - End Time:  Dusk),"No meat, bones, or dairy.","Brooklyn, Bay Ridge: 4th Avenue Presbyterian Church located at 6753 4th Avenue, Brooklyn, NY 11220. Open: Year Round during Every day (Start Time: Dawn - End Time:  Dusk). Notes: No meat, bones, or dairy.","[ 6.23612702e-02 -4.13989052e-02  5.33190137e-03 -1.99950337e-02
 -8.15021619e-02  3.53110991e-02 -7.59952813e-02 -7.13269860e-02
  1.17434680e-01 -4.63470258e-02  3.05778366e-02  6.64432347e-02
 -6.39560074e-02 -2.85572447e-02  6.71573207e-02  3.42932716e-02
  3.39044072e-02  6.81804586e-03  4.81437258e-02 -3.40515971e-02
  3.33148427e-03 -1.35618011e-02  6.97903782e-02 -1.94793437e-02
 -7.50876293e-02 -5.10886088e-02 -2.10777540e-02 -4.35280204e-02
  2.57164333e-03 -3.22034433e-02  2.11338345e-02 -3.20971608e-02
 -2.71905842e-03  3.77610279e-03  9.12788361e-02  6.93070441e-02
  1.02666914e-01  5.24776205e-02  1.48410965e-02  7.50608593e-02
 -3.12843323e-02  1.84881296e-02  4.96269017e-02  2.94273011e-02
  6.08128235e-02 -5.62060764e-03 -1.64215155e-02 -8.84756371e-02
  7.20816329e-02 -5.89830950e-02  4.02343199e-02 -8.29149038e-03
  3.27992886e-02  1.08894883e-02 -5.71247302e-02  9.16491449e-02
 -4.22420399e-03 -2.68594306e-02  4.06682603e-02  3.80119346e-02
  3.68095897e-02  3.66739254e-03 -6.02991544e-02  2.26778761e-02
  8.79131071e-03  4.19674404e-02  4.34542522e-02  6.43546209e-02
  4.25829962e-02 -7.39147067e-02  6.75479174e-02  3.87907065e-02
  5.38642593e-02  3.67179024e-03 -7.68512636e-02 -5.60976230e-02
 -1.25714084e-02 -3.02293729e-02 -8.39290470e-02  4.99702692e-02
 -2.13499852e-02  1.95267387e-02 -5.60761709e-03  9.43389982e-02
 -8.40235688e-03  5.82362264e-02 -1.33531988e-01  2.13739611e-02
  3.74157331e-03  1.87522434e-02 -9.84900072e-03  1.44550037e-02
 -7.77332038e-02 -5.52600138e-02 -3.87273170e-02 -4.07934971e-02
  1.27196768e-02 -9.95589495e-02  4.48446646e-02  6.55761361e-02
 -2.80009024e-02  1.64837744e-02 -3.85696143e-02  5.44278845e-02
  5.12985475e-02 -4.35730517e-02 -4.66598384e-02  8.64838511e-02
  2.20062993e-02  9.50961187e-03  2.77715642e-02 -1.71253402e-02
 -6.05217628e-02  2.63544153e-02 -1.57293789e-02 -4.55017351e-02
  4.15729433e-02 -8.27841237e-02 -1.94003955e-02 -5.32065481e-02
 -4.61038724e-02  2.53221057e-02  2.32710261e-02 -7.10079819e-02
 -6.88601360e-02 -3.69908959e-02  4.18532044e-02  1.53703169e-33
  7.30449930e-02  2.00145692e-02  1.10900477e-01 -7.58908838e-02
  5.73165379e-02 -1.95051711e-02 -2.00935677e-02 -2.45214272e-02
 -8.24309438e-02  2.56049726e-03 -4.08455394e-02 -8.20702910e-02
  5.87273352e-02 -1.08240306e-01 -7.74780959e-02 -3.41208838e-02
  3.48485112e-02  2.35671643e-02  3.44030485e-02 -4.59944308e-02
  2.41776053e-02  3.04511748e-02 -2.15429049e-02  1.92411765e-02
  4.53992467e-03 -7.85922334e-02  3.42015214e-02  4.90478873e-02
 -7.54400971e-04  4.30966541e-03 -2.89983321e-02 -1.55850768e-03
  4.19729901e-03  3.46410973e-03  6.76114634e-02 -2.12225225e-02
  1.06063560e-02 -2.86127278e-03  6.58298731e-02 -6.84627667e-02
  3.32522430e-02  4.21418576e-03  5.59586920e-02  9.22880229e-03
  6.94104955e-02  8.75826180e-02  1.13132156e-01 -2.92791072e-02
  8.93724188e-02  2.87601468e-03  2.48059593e-02  4.45756875e-02
 -6.70643672e-02 -5.84107079e-03 -1.09657548e-01 -3.81095661e-03
 -1.32427420e-02  9.28594917e-03  1.77376382e-02  4.32473607e-02
  8.34173709e-02  4.10698541e-02 -1.82851031e-02 -4.55516279e-02
 -4.80331248e-03 -8.40731114e-02  2.10338160e-02 -4.17820029e-02
  4.77765538e-02  5.32659795e-03  6.18604361e-04 -8.38919505e-02
  8.99277627e-02 -2.57115737e-02  6.65630028e-02 -6.88943500e-03
 -1.06902540e-01  7.05193263e-03  6.61863238e-02 -2.70151496e-02
  5.24878390e-02  6.67212205e-03 -2.18901578e-02  1.21211722e-01
  1.01327889e-01 -1.34166470e-03  9.45302695e-02 -2.31878534e-02
 -1.01515874e-02 -1.85769014e-02 -8.34456980e-02 -3.48521583e-02
  4.38434854e-02 -1.03052473e-02 -9.67778917e-03 -3.39193854e-33
  7.47255683e-02 -7.28492811e-02  8.38783477e-03 -3.41032594e-02
 -5.73366247e-02 -3.98548767e-02  2.23594694e-03  3.00677642e-02
 -5.22411708e-03  7.93633685e-02  9.70680565e-02  6.63916320e-02
  3.10012586e-02  6.30501099e-03 -5.33238426e-02  2.89616976e-02
 -6.95627555e-02  6.46822760e-03 -5.52232079e-02 -8.47707037e-03
  2.88385116e-02 -7.01282397e-02  8.07401910e-02  6.11287868e-03
  6.81038201e-02  1.64242014e-02  1.02378346e-01  4.00389209e-02
  6.89798817e-02 -8.99055004e-02 -1.08083606e-01  1.53997145e-03
 -1.69762615e-02 -3.85955386e-02 -4.34507392e-02 -1.68955866e-02
 -5.30879050e-02 -1.65508911e-02  4.35681874e-03 -3.32260802e-02
 -3.24162049e-03  5.38266897e-02 -8.06841105e-02  2.17858031e-02
 -4.19360632e-03  4.32206318e-02 -4.18885686e-02  8.81796777e-02
 -8.37259647e-03 -4.08366248e-02 -8.47526342e-02 -4.47223112e-02
  6.31650630e-03  3.76932062e-02  7.00355619e-02  1.58473682e-02
 -3.53850015e-02 -5.19402837e-03 -5.69917858e-02 -3.84354703e-02
 -2.32679769e-02 -2.97753382e-02  6.94252504e-03  1.12628609e-01
  7.25576729e-02 -3.13288979e-02  7.25173056e-02  4.78573442e-02
 -7.49661922e-02  2.48241480e-02  5.14520379e-03  2.94571128e-02
  4.31632996e-02 -3.22857238e-02 -6.55201599e-02 -4.42009792e-02
 -1.43865042e-03 -1.11118920e-01 -4.23473828e-02  4.41129506e-02
  1.94559824e-02  7.51834689e-03 -7.70153925e-02  3.70188765e-02
 -6.63754642e-02 -6.40328452e-02  1.37905806e-01  7.90413693e-02
 -1.35768775e-03  2.59395204e-02 -1.85267907e-02 -2.57728295e-03
 -6.46475190e-03  3.42711359e-02 -4.18087468e-02 -3.40134001e-08
  4.35094833e-02  5.08831404e-02  1.92330442e-02  1.15875397e-02
 -3.06725185e-02 -1.33427665e-01  3.81672047e-02 -4.23351973e-02
 -1.49940718e-02  1.87672134e-02  2.16792915e-02  4.18299548e-02
 -2.71899104e-02 -3.32985744e-02 -8.31587464e-02 -4.73702064e-04
 -1.28002139e-02 -1.33986771e-01  1.70769375e-02 -3.86559926e-02
 -3.49162221e-02  1.75345186e-02  5.39494902e-02 -5.41403831e-04
 -2.23662378e-03  6.45550862e-02 -2.42097620e-02 -2.23026425e-02
  6.32832050e-02  6.50038989e-03  6.57883938e-03  5.05184988e-03
 -3.94346453e-02 -2.59350259e-02 -2.86261104e-02 -3.22642140e-02
 -1.12056866e-01 -2.49773003e-02  4.65449207e-02 -4.35786927e-03
 -1.03995418e-02 -9.62200239e-02  7.84633681e-03  6.13737181e-02
 -2.59958096e-02 -3.01023554e-02  2.12264732e-02  9.17719603e-02
 -1.11885704e-02 -1.53712127e-02 -6.61265031e-02 -3.11252065e-02
 -1.36096431e-02 -5.50226383e-02 -5.59041500e-02  4.96259220e-02
 -5.05088009e-02 -6.61083385e-02 -2.54554823e-02  3.46386954e-02
 -7.81402574e-04 -8.16260874e-02 -4.09285091e-02 -3.77825536e-02]"
Manhattan,East Midtown-Turtle Bay,Dag Hammarskjold Plaza Greenmarket,E 47th St & 2nd Ave,Year Round,Wednesday (Start Time: 8:00 AM - End Time:  12:30 PM),,"Manhattan, East Midtown-Turtle Bay: Dag Hammarskjold Plaza Greenmarket located at E 47th St & 2nd Ave. Open: Year Round during Wednesday (Start Time: 8:00 AM - End Time:  12:30 PM). Notes: ","[ 2.42829267e-02  1.46047156e-02  3.37303467e-02  1.04785059e-03
 -1.48017602e-02  2.71276617e-03 -2.35853363e-02 -8.45677964e-03
 -8.25212861e-04 -2.36976296e-02 -1.17817605e-02  2.34707836e-02
 -4.49817330e-02 -9.67064314e-03  9.65638161e-02  3.81189659e-02
  8.82100016e-02  4.07867394e-02  5.43314144e-02 -5.38853444e-02
  4.02056202e-02 -7.01957643e-02  4.15322781e-02 -8.70005861e-02
 -7.01227039e-02 -9.61054396e-03 -3.75684239e-02  9.96634811e-02
 -5.67044765e-02 -5.68456538e-02  2.06936011e-03  6.31699339e-02
 -2.29017530e-02  5.78525849e-02  1.23252869e-01  9.15413126e-02
  2.73433793e-02 -2.61564553e-02  8.99675041e-02  4.01076004e-02
  2.72797327e-02  2.27905400e-02  5.77017702e-02  7.91626200e-02
 -3.02356808e-03 -3.27339256e-03 -8.97620246e-02 -3.37535329e-02
  5.44866882e-02 -1.09739481e-02 -7.95709435e-03 -9.19975713e-03
  4.37073000e-02  3.87840085e-02  1.83474813e-02  1.05776846e-01
 -1.79384779e-02  3.02832946e-03  6.67064190e-02 -7.93290138e-02
  4.16280851e-02 -4.58562858e-02 -8.21435079e-02  1.63384080e-02
 -2.69373357e-02 -4.59927358e-02 -4.33299951e-02  2.87597403e-02
  2.50257249e-03 -1.00995131e-01  2.25451384e-02  2.96788737e-02
 -5.46224266e-02 -9.26639140e-02 -8.01260471e-02  2.12203935e-02
 -2.57042143e-02 -2.37204656e-02 -2.18408387e-02  2.53386740e-02
  3.47519219e-02  4.03073132e-02  3.54004875e-02  4.51698415e-02
 -3.47967595e-02  7.87309557e-02 -5.47087602e-02  4.17712517e-02
 -3.18542048e-02  3.90464626e-02 -6.36097863e-02  2.27003451e-02
 -1.18825272e-01  1.74108054e-02 -1.28160179e-01 -7.22477958e-02
  3.01759131e-02  1.59537990e-03  5.24178669e-02  5.48685491e-02
  2.74510514e-02 -4.78728162e-03  4.42503728e-02 -2.84919273e-02
  4.15723547e-02 -1.09104142e-01 -6.57472573e-03  4.48592268e-02
 -1.90529926e-03  2.82944227e-03 -8.00824761e-02  2.54174061e-02
  1.64019279e-02  7.30930036e-03 -5.23712300e-02  6.71598613e-02
  4.40138429e-02 -1.53908981e-02  2.73747966e-02 -8.46006870e-02
  3.98721434e-02 -2.08517504e-05  2.60726660e-02 -4.18648459e-02
 -8.28713775e-02 -1.90486796e-02 -4.05021794e-02  5.58414918e-33
  4.97803034e-04 -2.18697973e-02  4.54319604e-02 -1.25518581e-02
  5.70474677e-02 -8.00331384e-02 -3.70464241e-03 -6.77877516e-02
 -3.39052528e-02  5.98053522e-02 -7.27218911e-02 -3.75215001e-02
 -4.59518470e-02 -4.29285578e-02 -2.56317724e-02 -4.94074486e-02
  4.08423431e-02 -9.59838973e-04 -8.99147093e-02 -1.12983622e-01
  4.87675378e-03 -2.21744739e-03 -4.85400818e-02  1.71305175e-04
 -1.52944829e-02  8.00872128e-03  3.32742296e-02 -3.61848413e-03
  7.00954944e-02  2.67613083e-02  1.36624807e-02 -5.47153130e-02
  3.43500599e-02  1.14920914e-01 -2.27450058e-02 -2.17199381e-02
 -7.03974813e-02 -2.03728843e-02  3.22188251e-02 -2.42856685e-02
  4.90858369e-02 -3.27825658e-02 -1.61966253e-02  2.08855532e-02
  9.86872166e-02  2.89020017e-02  4.99661677e-02  7.40375195e-04
  1.29897609e-01  4.26078998e-02 -1.75905768e-02  8.64347164e-03
 -1.12329379e-01  3.12501714e-02 -7.12488368e-02  2.75212526e-02
  4.36291797e-03 -6.76928088e-02 -8.15133657e-03  3.94720286e-02
  2.04713121e-02  4.89826649e-02 -7.60458363e-03 -1.06200412e-01
 -5.10783214e-03 -3.28132734e-02 -2.81664394e-02  1.58809044e-03
 -6.12482382e-03  5.73505238e-02  5.48276454e-02 -7.31052319e-03
  4.61699516e-02 -1.11180563e-02  4.08040099e-02  3.94285694e-02
 -4.01462168e-02  9.09319371e-02 -7.07139866e-03  1.52707351e-02
  9.61015299e-02  3.75076197e-02 -1.41554894e-02  7.18471408e-02
  2.29448322e-02 -1.78511981e-02  4.17749472e-02 -3.29838949e-03
  1.38445925e-02  7.21934289e-02 -8.53833184e-02 -8.32642168e-02
 -6.74136505e-02 -2.38932017e-02 -1.84939783e-02 -6.66610651e-33
 -1.64946187e-02 -6.92541525e-02 -2.10192259e-02 -2.48503797e-02
 -4.78606299e-03  4.56627682e-02 -2.39872690e-02 -1.43550476e-02
 -1.76486056e-02  1.19928569e-02 -6.06786013e-02  1.01646237e-01
  6.57196194e-02  9.49659720e-02 -4.80050258e-02  2.91972775e-02
  3.66115235e-02  2.39342712e-02 -1.57698132e-02  2.15420928e-02
  8.11333861e-03 -7.37984329e-02 -4.64523397e-03  3.35453227e-02
 -5.41303400e-03  4.96098846e-02  6.22153990e-02  2.25852802e-02
 -6.42528310e-02  5.01270816e-02 -1.02046400e-01  4.39814385e-03
  5.36331069e-03  7.28942603e-02  1.49919176e-02 -5.77000948e-03
 -6.66021090e-03 -1.74825918e-02 -4.72574979e-02 -3.97050194e-03
 -7.12581128e-02 -9.65284854e-02 -7.44945332e-02  6.09177314e-02
  5.27546741e-02 -2.81091612e-02 -2.88988557e-02 -2.63654832e-02
 -1.41332280e-02  4.42611054e-02 -3.58133353e-02  8.09718519e-02
 -1.78326257e-02 -8.03103112e-03  1.56442113e-02  4.05165628e-02
 -1.40438452e-02 -1.78702325e-02  3.77302542e-02 -3.64200585e-02
  2.45343708e-03  1.80214085e-02 -5.94572090e-02  7.74610713e-02
  5.73566891e-02  2.92714592e-02  7.55355358e-02 -2.11022459e-02
 -5.94697036e-02  1.87546853e-02 -4.39854013e-03  1.25751868e-01
 -2.48805471e-02 -1.04604103e-01 -2.42544040e-02 -2.73333117e-02
 -9.65392496e-03  3.99833396e-02 -4.18119133e-02 -9.34975047e-04
  4.78759222e-03  6.71933815e-02 -5.33094220e-02  8.34105816e-03
 -3.35373692e-02  4.04125787e-02  5.57530150e-02  9.44237337e-02
 -1.12904534e-01 -6.10233247e-02 -2.09273379e-02  1.04811393e-01
 -1.31488025e-01  6.05012290e-02 -8.71937200e-02 -3.95543758e-08
  9.90681723e-03  6.13265671e-02 -9.84848291e-03 -1.72796044e-02
 -2.84661842e-03 -4.49208952e-02  2.80046258e-02 -7.69628491e-03
 -9.11174901e-03  1.43726561e-02  4.15085815e-02  3.84397469e-02
  1.78223662e-02 -3.76254916e-02 -6.02275133e-02 -2.46720538e-02
 -3.07524540e-02 -5.20190708e-02  3.55152711e-02  1.01895202e-02
  3.37660871e-02  6.53059110e-02  8.20968971e-02  5.85867353e-02
 -4.27674912e-02  6.17582537e-02  1.98374521e-02  1.79710996e-03
  9.35104489e-02 -1.40451333e-02  2.66545080e-02  7.75052086e-02
 -6.96711242e-02 -2.67942417e-02 -6.58593848e-02 -3.52231786e-02
 -5.63093089e-02  3.29580195e-02  3.55303782e-04 -1.14559671e-02
 -4.26132679e-02 -9.47930291e-02 -2.87891855e-03  3.80471945e-02
 -5.39659820e-02  4.35774960e-02  4.13177954e-03 -3.87610272e-02
  5.12255654e-02 -3.11371889e-02 -1.42719150e-01 -4.58001047e-02
 -3.18697840e-02 -6.42522797e-02 -3.02070547e-02  4.46599945e-02
 -1.49551928e-02 -3.56012546e-02 -6.91525638e-02  8.01243261e-02
 -9.14391652e-02 -4.75788563e-02 -9.40298066e-02  8.30722153e-02]"
Manhattan,Hell's Kitchen,Hudson River Park's Pier 84 at W. 44th St.,Pier 84 at W. 44th St. near dog park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),,"Manhattan, Hell's Kitchen: Hudson River Park's Pier 84 at W. 44th St. located at Pier 84 at W. 44th St. near dog park. Open: Year Round during Every day (Start Time: 7:00 AM - End Time:  7:00 PM). Notes: ","[ 1.17689013e-01  1.57952809e-03 -6.74977782e-04 -1.79127220e-03
 -2.57455464e-02  5.60935773e-02 -2.73599438e-02 -1.07630707e-01
  3.63395102e-02 -5.95445223e-02 -2.20959168e-03  4.47004772e-04
 -5.20948358e-02  5.78448512e-02  4.42756340e-03 -5.97988777e-02
  4.62175980e-02  1.51799871e-02  6.76959977e-02 -2.63402183e-02
  3.83256972e-02 -5.41003607e-02  3.50232422e-02 -6.85231239e-02
 -4.66236994e-02  1.02926657e-01 -9.95411538e-03  3.77622470e-02
 -3.21463756e-02 -1.74791105e-02 -5.80384023e-02 -1.48693714e-02
 -4.13118713e-02  2.58013752e-04  5.74343801e-02  2.57939883e-02
  4.28022370e-02 -1.78546812e-02  5.89303933e-02  3.82707044e-02
 -8.50069709e-03 -8.52926355e-03  4.47546095e-02  4.97764051e-02
 -7.09194019e-02  5.59747480e-02 -5.48893102e-02 -5.81240878e-02
  4.21877578e-02 -2.60216668e-02 -6.74722076e-04 -2.25140546e-02
  7.81730339e-02  5.23225665e-02  3.30007896e-02  1.06131965e-02
  3.92924948e-03 -2.21672095e-02 -3.15027013e-02 -3.58523726e-02
 -8.88201874e-03  2.29569841e-02 -6.52432218e-02  2.56391298e-02
 -1.08128013e-02 -8.42551440e-02 -3.17362361e-02  9.09440368e-02
 -4.09527160e-02 -1.15442090e-01  1.10894032e-02  5.61953969e-02
  3.27312648e-02 -9.16920379e-02 -1.10244472e-02 -1.25989262e-02
 -1.66502371e-02 -4.70876917e-02 -2.89762281e-02 -9.79073695e-04
 -1.09145313e-03 -4.68926728e-02  1.19279191e-01  1.04516685e-01
  3.93954944e-03  9.78311673e-02 -1.26015216e-01  8.24881718e-03
 -6.91580493e-03  6.77049458e-02 -7.07493946e-02 -2.59351190e-02
 -1.06405728e-01 -4.37061153e-02  4.93284836e-02  8.46453104e-03
 -2.47606859e-02  1.54019585e-02  3.82857472e-02  3.60722877e-02
 -5.96737303e-02  1.39686959e-02 -4.28244239e-03  3.00741531e-02
  1.66160926e-01 -4.05154824e-02 -5.77031821e-02  7.07053989e-02
 -2.12872238e-03 -8.36155340e-02 -1.82669237e-02 -8.52126908e-03
  7.81537294e-02 -3.03926822e-02  2.75885258e-02 -1.82870161e-02
  2.46782843e-02 -2.16853861e-02 -1.10550607e-02 -9.38499197e-02
  2.14436580e-03  1.15843847e-01  7.10487515e-02  4.76453602e-02
 -1.22968048e-01  5.52567281e-02  1.47576155e-02  4.86920341e-34
  7.99134746e-02  1.02354714e-03 -2.68900562e-02 -1.16677865e-01
  1.22187756e-01 -8.76349509e-02  6.57544052e-03  4.60827686e-02
 -1.98155567e-02  2.24724207e-02 -5.44146560e-02 -5.61597049e-02
  1.15073603e-02 -9.32879373e-02  2.15483923e-02 -2.68440209e-02
  7.65618905e-02  8.95571932e-02  1.04859434e-02 -1.12588190e-01
 -7.74774048e-03 -7.01544136e-02  3.30402441e-02 -7.22324848e-02
 -2.40966994e-02  1.82683263e-02 -1.14279026e-02  5.51707894e-02
  1.74075849e-02  7.98886362e-03 -5.39543331e-02  8.62371456e-03
  2.10707299e-02  3.56738805e-03  2.92722229e-03 -3.97726707e-02
 -6.06213138e-02 -7.80479470e-03 -5.17546535e-02 -8.55512023e-02
  3.42049152e-02 -2.90624332e-02 -6.33179918e-02  5.80179086e-03
  1.42646469e-02  4.51608524e-02  5.13048358e-02  2.52299868e-02
  1.14479698e-01  5.26198111e-02  2.70239450e-02  2.18320452e-02
 -4.27450724e-02 -2.30363198e-03 -5.62979095e-02 -3.04784477e-02
  4.15947028e-02 -2.14780378e-03  8.83955322e-03  6.47070259e-02
 -3.83252166e-02  1.46807954e-01 -3.65093090e-02 -1.80860830e-03
  7.64302984e-02 -3.22135463e-02  1.20270783e-02 -6.94518117e-03
  3.20565701e-02  9.87021104e-02 -1.34543097e-02 -7.47976303e-02
  7.31870979e-02 -1.76722463e-02  6.78276494e-02  6.70422567e-04
 -4.64106649e-02  4.18072492e-02  5.04826196e-03  6.47685444e-03
  8.40422660e-02  2.93813646e-02  5.38192615e-02  6.81708530e-02
  1.57455932e-02 -6.45762980e-02  2.02015229e-02 -3.97953577e-02
 -3.96957584e-02  3.05622946e-02 -9.69669968e-02 -5.60629778e-02
  3.56491171e-02 -3.07534169e-02 -4.17542346e-02 -2.74595848e-33
  4.15869355e-02 -6.81142285e-02 -2.35825125e-02 -4.66634482e-02
 -3.46917734e-02 -3.04802544e-02 -8.72003660e-02 -4.45645303e-02
 -2.88732629e-03  1.84335746e-02  2.08702032e-03  5.91193661e-02
  3.23352106e-02  6.86560050e-02 -4.84566092e-02 -1.63733773e-03
 -2.06603785e-03  6.78876638e-02 -3.00863497e-02 -2.60323435e-02
  1.41124651e-02  5.45720011e-03 -1.26491552e-02  4.14295793e-02
 -5.59926704e-02 -1.72876231e-02  1.52378067e-01 -1.66954864e-02
 -9.30742025e-02 -2.38428563e-02 -8.39841366e-02 -1.72691885e-02
  1.33854505e-02 -1.49275186e-02  7.81056704e-03  4.13879156e-02
 -4.72524427e-02  8.57199077e-03  3.09522822e-02  2.15403661e-02
  2.48614978e-02  1.28006386e-02 -2.86515467e-02  6.59908131e-02
  1.85456239e-02  4.78109866e-02 -4.92024124e-02 -2.42273952e-03
  2.42035501e-02  3.88866588e-02 -6.46822825e-02  4.25788434e-03
 -6.62083477e-02 -3.36024761e-02 -2.28027441e-02 -2.69361027e-02
 -3.22722346e-02 -1.30900526e-02  7.33765354e-03 -5.10931248e-03
 -7.55334133e-03  5.76934824e-03 -1.74605697e-02  1.33413091e-01
  5.55587932e-02 -6.21201321e-02  1.15098022e-02 -5.48786111e-02
 -5.67620024e-02  2.91410238e-02 -1.58089809e-02  5.13396263e-02
  1.10432599e-03  1.61785185e-02 -2.48341840e-02 -5.42858467e-02
  1.22849941e-01  7.12017044e-02 -5.33611095e-03 -7.25810928e-03
  7.95611814e-02  1.19366556e-01 -4.57269810e-02  1.36413099e-02
  2.30463650e-02  4.55821939e-02  3.59878317e-02 -3.36434954e-04
 -6.85840994e-02  8.67680367e-03  4.26363712e-03  6.76404610e-02
 -5.29528894e-02 -5.96621446e-02 -9.27934702e-03 -3.12964517e-08
  3.51881003e-03  8.47570375e-02 -3.51795647e-03  2.61197556e-02
  1.64607391e-02 -6.08922839e-02  3.53843570e-02 -2.90611014e-02
 -4.87923995e-02 -1.88921299e-02  4.67853770e-02  5.00702187e-02
 -8.55363254e-03 -2.60268189e-02 -3.28887589e-02 -9.85356495e-02
 -1.20312965e-03 -2.92116217e-02  1.69694182e-02  5.19543625e-02
  4.22464497e-02 -1.57919265e-02  1.42068833e-01 -1.03741623e-02
 -1.70908198e-02 -7.01661035e-02  5.34997731e-02 -2.36412231e-03
  4.50502373e-02 -2.47374829e-02  6.01124614e-02  5.42024337e-02
  1.74640887e-03  4.14008684e-02  1.28597869e-02 -6.58938289e-02
 -7.49579221e-02 -1.35774286e-02 -2.19741073e-02  3.18973362e-02
 -7.83627778e-02 -4.89877313e-02 -9.89714637e-03 -2.84668687e-03
 -3.34122591e-02  4.55420837e-02 -4.80137877e-02  2.64424663e-02
 -1.47450492e-02 -8.06335476e-04 -1.17792934e-01  1.04655111e-02
  3.21970060e-02 -7.78059289e-02  6.36158437e-02 -8.27688258e-03
  2.64875181e-02 -6.13769181e-02 -1.69183090e-02  4.90813516e-02
  5.20440564e-02  9.43391025e-03 -4.57545966e-02  1.72192864e-02]"
